"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
33.41,0.00205597680281955,0.00369532630985692
33.42,0.00205471066908991,0.0036905809535791
33.43,0.00205344797488072,0.00368584990994147
33.44,0.00205218871123958,0.00368113312557083
33.45,0.00205093286928903,0.00367643054744538
33.46,0.00204968044029874,0.00367174212295607
33.47,0.00204843141561672,0.00366706779984605
33.48,0.00204718578669039,0.00366240752622249
33.49,0.00204594354508292,0.00365776125056805
33.5,0.00204470468244555,0.00365312892172731
33.51,0.00204346919054421,0.0036485104889119
33.52,0.00204223706123041,0.00364390590167696
33.53,0.00204100828645815,0.00363931510993931
33.54,0.00203978285829842,0.00363473806398551
33.55,0.00203856076890152,0.00363017471443983
33.56,0.00203734201052408,0.00362562501227748
33.57,0.00203612657553454,0.00362108890883395
33.58,0.00203491445636839,0.00361656635576024
33.59,0.00203370564559702,0.0036120573050924
33.6,0.00203250013586032,0.00360756170916865
33.61,0.00203129791991163,0.0036030795206895
33.62,0.00203009899059736,0.00359861069268308
33.63,0.00202890334085759,0.00359415517851269
33.64,0.00202771096372867,0.00358971293186983
33.65,0.00202652185235197,0.00358528390678525
33.66,0.0020253359999568,0.00358086805761182
33.67,0.00202415339987705,0.00357646533903277
33.68,0.00202297404552909,0.00357207570604867
33.69,0.00202179793043022,0.00356769911397947
33.7,0.00202062504819389,0.00356333551846888
33.71,0.00201945539252724,0.00355898487548345
33.72,0.00201828895723077,0.00355464714129439
33.73,0.00201712573620871,0.00355032227250363
33.74,0.00201596572343521,0.00354601022599521
33.75,0.00201480891301087,0.00354171095900324
33.76,0.00201365529911135,0.00353742442903904
33.77,0.00201250487599014,0.0035331505939199
33.78,0.0020113576380375,0.0035288894117993
33.79,0.00201021357968723,0.00352464084109172
33.8,0.00200907269549788,0.00352040484053906
33.81,0.00200793498011032,0.00351618136917298
33.82,0.00200680042826429,0.00351197038632778
33.83,0.00200566903477406,0.00350777185162254
33.84,0.00200454079457635,0.00350358572499188
33.85,0.00200341570266871,0.00349941196663772
33.86,0.00200229375416405,0.00349525053707378
33.87,0.00200117494426133,0.00349110139709707
33.88,0.00200005926823632,0.0034869645077783
33.89,0.00199894672149081,0.00348283983050757
33.9,0.00199783729947201,0.00347872732691534
33.91,0.00199673099775932,0.0034746269589534
33.92,0.00199562781201446,0.00347053868884772
33.93,0.00199452773797293,0.00346646247909255
33.94,0.00199343077148628,0.00346239829247519
33.95,0.0019923369084961,0.00345834609206586
33.96,0.00199124614501522,0.00345430584119322
33.97,0.00199015847716699,0.00345027750347537
33.98,0.00198907390117553,0.00344626104281998
33.99,0.00198799241333281,0.00344225642337592
34,0.00198691401004714,0.00343826360959509
34.01,0.00198583868781699,0.0034342825661956
34.02,0.00198476644323042,0.0034303132581639
34.03,0.00198369727295378,0.00342635565074656
