Frequency_GHz,Abs0deg,Abs10deg,Abs20deg
76.8637274549,6.93921934348634e-05,3.98232201554667e-05,3.98232201554667e-05
76.869739479,6.98600273176725e-05,3.96840809058804e-05,3.96840809058804e-05
76.875751503,7.07157284038381e-05,4.05843092103398e-05,4.05843092103398e-05
76.8817635271,7.13778852325169e-05,4.04061850564005e-05,4.04061850564005e-05
76.8877755511,7.22254082189663e-05,4.04430200833428e-05,4.04430200833428e-05
76.8937875752,7.29514615782434e-05,4.11874597237186e-05,4.11874597237186e-05
76.8997995992,7.33168059481189e-05,4.17163085769988e-05,4.17163085769988e-05
76.9058116232,7.4052283697502e-05,4.19814424085963e-05,4.19814424085963e-05
76.9118236473,7.6070535414057e-05,4.25066149878349e-05,4.25066149878349e-05
76.9178356713,7.64280622996279e-05,4.22657788861838e-05,4.22657788861838e-05
76.9238476954,7.67809696765462e-05,4.2570727379959e-05,4.2570727379959e-05
76.9298597194,7.73767666483296e-05,4.31100132646316e-05,4.31100132646316e-05
76.9358717435,7.85812519306568e-05,4.36721279846083e-05,4.36721279846083e-05
76.9418837675,7.95660818626501e-05,4.36862214016971e-05,4.36862214016971e-05
76.9478957916,7.96895320204045e-05,4.38363972173088e-05,4.38363972173088e-05
76.9539078156,8.11402113051526e-05,4.4280677387237e-05,4.4280677387237e-05
76.9599198397,8.24364882619556e-05,4.48788287417395e-05,4.48788287417395e-05
76.9659318637,8.30665677975564e-05,4.51352478875755e-05,4.51352478875755e-05
76.9719438878,8.3753753609582e-05,4.55227616366392e-05,4.55227616366392e-05
76.9779559118,8.40738024981394e-05,4.53961877618458e-05,4.53961877618458e-05
76.9839679359,8.61103999082076e-05,4.53224699356705e-05,4.53224699356705e-05
76.9899799599,8.81291973895917e-05,4.63248600755439e-05,4.63248600755439e-05
76.995991984,8.80609677049426e-05,4.74337594067236e-05,4.74337594067236e-05
77.002004008,9.02346272188796e-05,4.76674610712864e-05,4.76674610712864e-05
77.0080160321,9.13760117335256e-05,4.70354458638532e-05,4.70354458638532e-05
77.0140280561,9.23792348803659e-05,4.73548166913893e-05,4.73548166913893e-05
